Time,Channel 1,Channel 2,Channel 3,Channel 4
2900,1568,368,1629,2952
3900,1547,339,1769,2894
4900,1513,304,1709,2790
5900,1522,308,1615,2763
6900,1501,280,1313,2622
7900,1496,261,1450,2618
8800,1300,219,1172,2283
9800,1467,233,1472,2496
10800,1439,223,1054,2375
11800,1439,213,1222,2399
12800,1399,185,1209,2283
13800,1388,185,1128,2252
14800,1395,172,1083,2179
15800,1364,171,791,2161
16800,1369,149,1011,2084
17800,1302,139,971,2015
18700,1220,127,906,1798
19700,1313,135,808,1965
20700,1309,123,864,1895
21700,1255,108,830,1833
22700,1294,111,775,1830
23700,1249,110,513,1764
24700,1266,97,724,1739
25700,1205,88,729,1675
26700,1239,94,669,1651
27700,1201,87,667,1606
28600,1084,74,631,1423
29600,1178,74,558,1542
30600,1176,79,584,1507
31600,1156,68,589,1464
32600,1149,71,547,1459
33600,1144,65,542,1415
34600,1104,58,277,1367
35600,1128,61,494,1349
36600,1099,60,495,1311
37500,991,47,481,1173
38500,1059,52,415,1265
39500,1077,55,452,1221
40500,1061,51,439,1196
41500,1053,44,434,1193
42500,1013,46,413,1142
43500,1040,48,400,1137
44500,1024,46,397,1086
45500,1008,40,373,1084
46400,875,35,379,944
47400,994,43,320,1056
48400,986,40,367,993
49400,962,36,331,994
50400,951,37,341,980
51400,935,38,339,957
52400,954,36,327,919
53400,921,35,309,903
54400,913,33,308,912
55300,793,30,302,791
55400,847,33,269,839
56300,825,32,259,773
57300,897,34,280,839
58300,883,31,265,833
59300,847,28,263,814
60300,868,36,509,789
61300,862,31,238,771
62300,846,26,240,759
63300,822,30,499,753
64200,746,30,221,661
64300,784,25,22,709
65200,751,27,215,633
66200,816,26,234,703
67200,789,28,241,697
68200,785,31,234,690
69200,803,28,214,642
70200,775,27,231,659
71200,775,29,219,644
72200,737,26,223,629
73100,698,27,181,549
74100,749,26,215,598
75100,742,28,205,605
76100,709,24,208,583
77100,733,31,197,569
78100,723,26,192,548
79100,720,23,191,551
80100,680,25,204,545
81100,694,31,188,535
82000,637,24,161,451
83000,685,22,178,507
84000,660,27,197,512
85000,663,29,175,493
86000,666,24,171,463
87000,667,25,172,476
88000,642,24,173,469
89000,620,27,175,460
90000,637,29,169,450
90900,584,19,137,386
91000,567,26,19,429
91900,558,21,145,396
92900,600,27,170,424
93900,606,29,161,420
94900,620,23,152,402
95900,599,23,152,408
96900,568,25,158,396
97900,591,29,153,397
98900,593,25,143,357
99800,522,20,132,350
100800,551,24,154,366
101800,563,29,144,375
102800,567,24,141,338
103800,553,21,134,359
104800,542,25,150,345
105800,525,28,143,343
106800,543,25,133,322
107800,542,24,133,332
108700,466,19,120,289
109700,503,28,138,319
110700,521,27,131,308
111700,520,22,122,304
112700,507,23,130,304
113700,482,25,133,292
114700,493,29,127,299
115700,496,23,118,274
116600,439,20,109,255
116700,453,27,8,273
117600,416,23,121,248
118600,475,29,123,281
119600,483,24,111,255
120600,463,20,112,262
121600,450,24,123,264
122600,455,30,123,261
123600,459,25,111,244
124600,448,23,111,249
125500,389,19,101,219
126500,431,29,115,244
127500,438,25,112,228
128500,435,24,104,236
129500,431,23,106,222
130500,402,24,113,235
131500,421,30,112,222
132500,422,23,94,209
133500,406,20,99,207
134400,353,24,102,206
135400,404,29,109,204
136400,401,23,91,195
137400,399,21,97,197
138400,383,24,102,207
139400,374,29,105,197
140400,389,25,93,182
141400,382,22,93,192
142400,378,25,99,188
143300,318,25,91,169
144300,371,24,91,177
145300,366,23,91,180
146300,366,24,92,173
147300,330,24,93,180
148300,363,28,96,169
149300,358,25,82,164
150300,341,20,86,159
151200,292,23,87,160
152200,351,29,91,161
153200,336,24,77,151
154200,333,20,83,148
155200,321,25,92,166
156200,327,29,88,155
157200,324,23,78,144
158200,328,24,81,145
159200,316,23,84,147
160100,269,26,79,136
161100,313,24,75,133
162100,308,23,77,139
163100,308,23,83,140
164100,284,26,83,142
165100,309,28,78,132
166100,293,23,74,127
167100,298,22,74,130
168100,273,24,80,133
169000,274,27,72,118
170000,285,24,72,115
171000,280,21,69,121
172000,268,24,78,128
173000,287,29,78,121
174000,274,24,69,114
175000,271,22,67,113
176000,276,24,73,118
177000,252,28,76,117
177900,243,22,63,100
178900,265,24,65,107
179900,264,23,70,109
180900,243,27,73,113
181900,263,27,69,108
182900,249,22,65,100
183900,252,23,63,103
184900,239,25,74,107
185800,224,27,61,94
186800,243,22,63,92
187800,241,23,60,98
188800,227,24,71,101
189800,240,29,69,102
190800,236,24,56,84
191800,231,20,56,89
192800,230,25,70,101
193800,222,29,69,94
194700,202,22,50,76
194800,204,23,9,95
195700,203,18,48,75
196700,221,24,64,92
197700,213,29,66,91
198700,217,25,59,86
199700,223,24,57,82
200700,205,23,56,82
201700,203,24,66,89
202700,208,30,62,84
203600,198,19,45,64
204600,196,23,55,80
205600,201,25,64,85
206600,196,29,60,80
207600,204,23,51,71
208600,201,21,51,73
209600,184,24,59,80
210600,195,29,62,79
211600,194,25,51,71
212500,178,18,43,59
213500,180,24,59,77
214500,187,30,60,78
215500,183,24,52,71
216500,191,23,52,67
217500,175,24,50,69
218500,170,24,56,71
219500,180,28,56,72
220500,189,25,49,64
221400,150,19,42,56
222400,169,24,56,71
223400,171,29,55,69
224400,181,24,46,59
225400,167,20,45,59
226400,161,25,55,70
227400,170,29,53,66
228400,160,23,47,57
229400,175,24,47,59
230300,134,20,46,56
231300,161,29,52,65
